key,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order
WDBC__11,Density,density_64,130,0.09600127162430483,77.15289982425307,True,qualifies,569,0.22223396719051894,10
WDBC__11,Density,density_128,258,0.09454651703697414,54.65729349736379,True,qualifies,569,0.21886634634799193,11
WDBC__11,Density,density_256,514,0.09465934364564088,9.666080843585235,True,qualifies,569,0.2191275293971789,12
WDBC__11,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,13
WDBC__11,Five-number,five_number,10,0.9089943820224722,0.0,False,does_not_qualify,569,2.104236998664974,14
WDBC__12,Binned,bins_8,18,0.6642950412238156,96.8365553602812,True,qualifies,569,0.4791752621841954,1
WDBC__12,Binned,bins_16,34,0.7300559622442857,94.02460456942003,True,qualifies,569,0.5266105200380038,2
WDBC__12,Density,density_16,34,0.9118946228620248,94.02460456942003,True,qualifies,569,0.6577760149906767,3
WDBC__12,Binned,bins_32,66,0.23444431807885024,88.40070298769771,True,qualifies,569,0.1691114800075381,4
WDBC__12,Density,density_32,66,0.4659507467125521,88.40070298769771,True,qualifies,569,0.3361037752285186,5
WDBC__12,Binned,bins_64,130,0.24669547448903817,77.15289982425307,True,qualifies,569,0.1779485941219177,6
WDBC__12,Density,density_64,130,0.3720896714028814,77.15289982425307,True,qualifies,569,0.2683990618416116,7
WDBC__12,Density,density_128,258,0.4039969223547851,54.65729349736379,True,qualifies,569,0.2914146865138785,8
WDBC__12,Density,density_256,514,0.41848166396099973,9.666080843585235,True,qualifies,569,0.30186295035164773,9
WDBC__12,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,10
WDBC__12,Density,density_8,18,1.4056916308007044,0.0,False,does_not_qualify,569,1.0139661053289653,11
WDBC__12,Binned,bins_4,10,2.5326238207547167,0.0,False,does_not_qualify,569,1.8268549485005137,12
WDBC__12,Means,means,2,2.9346420432323863,0.0,False,does_not_qualify,569,2.116842341457219,13
WDBC__12,Five-number,five_number,10,8.795,0.0,False,does_not_qualify,569,6.3440883483730435,14
WDBC__13,Binned,bins_16,34,12.568069847644466,94.02460456942003,True,qualifies,569,0.4573134338554631,1
WDBC__13,Density,density_16,34,18.035742355696,94.02460456942003,True,qualifies,569,0.6562652315591334,2
WDBC__13,Density,density_32,66,10.235935401869078,88.40070298769771,True,qualifies,569,0.3724542291773447,3
WDBC__13,Binned,bins_32,66,12.349943487643841,88.40070298769771,True,qualifies,569,0.44937648602532554,4
WDBC__13,Binned,bins_64,130,6.651822778194742,77.15289982425307,True,qualifies,569,0.24203938655420154,5
WDBC__13,Density,density_64,130,9.790916548088871,77.15289982425307,True,qualifies,569,0.35626136085152205,6
WDBC__13,Density,density_128,258,12.67424173628951,54.65729349736379,True,qualifies,569,0.46117670256448323,7
WDBC__13,Density,density_256,514,13.699764477057935,9.666080843585235,True,qualifies,569,0.4984923231619907,8
WDBC__13,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,9
WDBC__13,Density,density_8,18,40.73945420011235,0.0,False,does_not_qualify,569,1.482383525831737,10
WDBC__13,Binned,bins_8,18,41.16420920576175,0.0,False,does_not_qualify,569,1.4978390550049163,11
WDBC__13,Means,means,2,67.57776649568889,0.0,False,does_not_qualify,569,2.4589472228480878,12
WDBC__13,Binned,bins_4,10,99.60246327014212,0.0,False,does_not_qualify,569,3.6242275107237982,13
WDBC__13,Five-number,five_number,10,266.87,0.0,False,does_not_qualify,569,9.710579076379101,14
WDBC__14,Binned,bins_4,10,0.0017652609577114425,98.24253075571178,True,qualifies,569,0.90077037484258,1
WDBC__14,Binned,bins_8,18,0.0009740352918813904,96.8365553602812,True,qualifies,569,0.4970268736444364,2
WDBC__14,Density,density_8,18,0.0019514953107334226,96.8365553602812,True,qualifies,569,0.9958013034128568,3
WDBC__14,Binned,bins_16,34,0.0006276698214589711,94.02460456942003,True,qualifies,569,0.320284872263851,4
WDBC__14,Density,density_16,34,0.0006574473033981627,94.02460456942003,True,qualifies,569,0.3354796078926318,5
WDBC__14,Density,density_32,66,0.00033937651737079265,88.40070298769771,True,qualifies,569,0.17317570607870963,6
WDBC__14,Binned,bins_32,66,0.0004798267832062629,88.40070298769771,True,qualifies,569,0.24484411184653096,7
WDBC__14,Binned,bins_64,130,0.0001762923772739445,77.15289982425307,True,qualifies,569,0.08995777653453235,8
WDBC__14,Density,density_64,130,0.0003515649347118552,77.15289982425307,True,qualifies,569,0.17939516343943906,9
WDBC__14,Density,density_128,258,0.0003437078994230156,54.65729349736379,True,qualifies,569,0.17538590656930764,10
WDBC__14,Density,density_256,514,0.0003423166522596617,9.666080843585235,True,qualifies,569,0.174675986473155,11
WDBC__14,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,12
WDBC__14,Means,means,2,0.002047192378838327,0.0,False,does_not_qualify,569,1.0446332245696839,13
WDBC__14,Five-number,five_number,10,0.009838399999999995,0.0,False,does_not_qualify,569,5.0202998129752325,14
WDBC__15,Means,means,2,0.006328300618212098,99.64850615114236,True,qualifies,569,0.365189797583421,1
WDBC__15,Binned,bins_4,10,0.008078225968616827,98.24253075571178,True,qualifies,569,0.46617344596783494,2
WDBC__15,Five-number,five_number,10,0.012462415730337177,98.24253075571178,True,qualifies,569,0.7191736538028257,3
WDBC__15,Binned,bins_8,18,0.003206102191424639,96.8365553602812,True,qualifies,569,0.18501583299450092,4
WDBC__15,Density,density_8,18,0.01518183043598871,96.8365553602812,True,qualifies,569,0.8761040156513497,5
WDBC__15,Binned,bins_16,34,0.00287020860537504,94.02460456942003,True,qualifies,569,0.1656322862732836,6
WDBC__15,Density,density_16,34,0.002882305050340799,94.02460456942003,True,qualifies,569,0.16633034070448613,7
WDBC__15,Binned,bins_32,66,0.0018111784342237543,88.40070298769771,True,qualifies,569,0.10451840481125861,8
WDBC__15,Density,density_32,66,0.003310694137324287,88.40070298769771,True,qualifies,569,0.1910515626249842,9
WDBC__15,Binned,bins_64,130,0.0014525417368914106,77.15289982425307,True,qualifies,569,0.08382241218918442,10
WDBC__15,Density,density_64,130,0.002993717281608542,77.15289982425307,True,qualifies,569,0.17275965129505655,11
WDBC__15,Density,density_128,258,0.003050107743731826,54.65729349736379,True,qualifies,569,0.17601379844937673,12
WDBC__15,Density,density_256,514,0.0030421016164490083,9.666080843585235,True,qualifies,569,0.175551785631366,13
WDBC__15,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,14
WDBC__16,Means,means,2,0.006560816027907895,99.64850615114236,True,qualifies,569,0.2651988920220822,1
WDBC__16,Binned,bins_4,10,0.021822239976894857,98.24253075571178,True,qualifies,569,0.8820905568293964,2
WDBC__16,Binned,bins_8,18,0.015966330532212906,96.8365553602812,True,qualifies,569,0.6453851394079431,3
WDBC__16,Density,density_8,18,0.02236930472807242,96.8365553602812,True,qualifies,569,0.9042038069585712,4
WDBC__16,Binned,bins_16,34,0.011102759201557934,94.02460456942003,True,qualifies,569,0.44879164819076034,5
WDBC__16,Density,density_16,34,0.011402155729645105,94.02460456942003,True,qualifies,569,0.4608937445132653,6
WDBC__16,Binned,bins_32,66,0.0032607198033707957,88.40070298769771,True,qualifies,569,0.13180361640534274,7
WDBC__16,Density,density_32,66,0.005985472057225036,88.40070298769771,True,qualifies,569,0.24194254968484177,8
WDBC__16,Binned,bins_64,130,0.0029003749999999273,77.15289982425307,True,qualifies,569,0.11723789131971762,9
WDBC__16,Density,density_64,130,0.005556138352964778,77.15289982425307,True,qualifies,569,0.22458818062568317,10
WDBC__16,Density,density_128,258,0.005579339983084457,54.65729349736379,True,qualifies,569,0.22552602838344252,11
WDBC__16,Density,density_256,514,0.005450076341381026,9.666080843585235,True,qualifies,569,0.22030098100935533,12
WDBC__16,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,13
WDBC__16,Five-number,five_number,10,0.21183921348314605,0.0,False,does_not_qualify,569,8.56288676036449,14
WDBC__17,Means,means,2,0.001702855120254589,99.64850615114236,True,qualifies,569,0.3759061346507805,1
WDBC__17,Binned,bins_8,18,0.001200286074474464,96.8365553602812,True,qualifies,569,0.2649637619572696,2
WDBC__17,Density,density_8,18,0.0031541374327930163,96.8365553602812,True,qualifies,569,0.69627744393269,3
