key,H,primary,best_score,families,n_tied
Wrist__00,256,True,95.34774526036328,Bar chart,1
Wrist__00,512,True,95.56982560226349,Bar chart,1
Wrist__01,128,True,95.13679868427415,Bar chart,1
Wrist__01,256,True,95.64456511864672,Bar chart,1
Wrist__01,512,True,95.40090565793274,Bar chart,1
Wrist__02,128,True,95.37670000618483,Violin plot,1
Wrist__02,256,True,94.78433012622668,Violin plot,1
Wrist__02,512,True,94.56587144893473,Violin plot,1
Wrist__03,128,True,94.63767771752822,Violin plot,1
Wrist__03,256,True,95.48383661185001,Bar chart,1
Wrist__03,512,True,95.64498532518876,Bar chart,1
Wrist__04,128,True,90.49045762052458,Violin plot,1
Wrist__04,256,True,90.35207352828873,Violin plot,1
Wrist__04,512,True,90.20126899817399,Violin plot,1
