key,primary,dataset,feature,family,setting,H,phase,loss,score,decode_failure,scale,constant_scale_fallback
WDBC__00,True,WDBC,mean radius,Heatmap,8,512,0.0,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,512,0.25,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,512,0.5,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,512,0.75,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,128,0.0,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,128,0.25,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,128,0.5,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,128,0.75,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,256,0.0,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,256,0.25,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,256,0.5,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,256,0.75,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,512,0.0,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,512,0.25,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,512,0.5,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,16,512,0.75,0.06374067473960797,94.0078746396333,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,128,0.0,0.0096873011161823,99.04056423157218,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,128,0.25,0.0096873011161823,99.04056423157218,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,128,0.5,0.0096873011161823,99.04056423157218,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,128,0.75,0.0096873011161823,99.04056423157218,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,256,0.0,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,256,0.25,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,256,0.5,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,256,0.75,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,512,0.0,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,512,0.25,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,512,0.5,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,32,512,0.75,0.00986830890840773,99.02281229925171,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,128,0.0,0.03532132103546462,96.58837113485325,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,128,0.25,0.03532132103546462,96.58837113485325,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,64,128,0.5,0.03532132103546462,96.58837113485325,,2.410516653707913,False
