key,dataset,feature,family,setting,axis,H,observer,loss,group_loss,zero_loss,successful,low,high,scale,score,candidate
HAR__17,HAR,tBodyAccJerk-std()-Z,Dot plot,raw,zero,256,threshold,0.0882188530326355,0.052007841265278,4.197529874381866,4,0.0408303084674455,0.1399740856206107,0.1186859717045763,91.8932802177808,Dot plot / raw
HAR__03,HAR,tBodyAcc-std()-X,Histogram,64,zero,256,threshold,0.0908035133394795,0.1165035612559291,7.873132339733298,4,0.0647911224060842,0.1179217307083778,0.0873726069265212,91.6755389738812,Histogram / 64
HeartFailure__05,HeartFailure,serum_sodium,Violin plot,64,zero,256,threshold,0.0927210367499994,0.1365049323946204,0.4267714704945112,4,0.0914094860515469,0.0947871089084533,4.3348727080007405,91.5146653508408,Violin plot / 64
HAR__38,HAR,tBodyGyroJerkMag-mean(),Histogram,64,zero,256,threshold,0.0932131720095645,0.0695186522850934,4.776719690397632,4,0.0595457096057439,0.1288814502710377,0.1071670577256307,91.4734679021276,Histogram / 64
HAR__21,HAR,tBodyGyro-std()-X,Violin plot,16,zero,256,threshold,0.1061888880832683,0.3086873420555091,5.086399968002463,4,0.1057601918058338,0.1074456472603019,0.1005996314621226,90.40047416610147,Violin plot / 16
Wrist__04,Wrist,SD,Violin plot,8,zero,256,threshold,0.1067814616195891,0.543541016294111,1.5161811796252485,4,0.1054409056466033,0.1082075586997243,1.0871690248123866,90.35207352828871,Violin plot / 8
HAR__39,HAR,tBodyGyroJerkMag-std(),Heatmap,16,zero,256,threshold,0.1087603993574286,0.2245233834025694,3.022894688594303,4,0.1087603993574286,0.1087603993574286,0.1514172162619554,90.19081134026254,Heatmap / 16
HAR__37,HAR,tBodyGyroMag-std(),Dot plot,raw,zero,256,threshold,0.1152754930162801,0.0683797152909091,4.25120744504073,4,0.0258222996781305,0.1986852839536289,0.1354565161673692,89.66394458247122,Dot plot / raw
HAR__11,HAR,tGravityAcc-std()-Z,Violin plot,64,zero,256,threshold,0.1378836724736385,0.3915468436889,2.088132693145848,4,0.134712259633344,0.1430008754719509,0.0086901926585239,87.88244564807806,Violin plot / 64
HAR__10,HAR,tGravityAcc-std()-Y,Violin plot,128,zero,256,threshold,0.1554672749895309,0.5796752657851127,3.765669216841903,4,0.1013919135330292,0.2377279239961299,0.0044293128630103,86.54507329158764,Violin plot / 128
HAR__19,HAR,tBodyGyro-mean()-Y,Violin plot,16,zero,256,threshold,0.1646826860336021,0.3689948226901729,0.7139376139785505,4,0.1637327308434621,0.165870469522275,0.0077115347366547,85.86029585496466,Violin plot / 16
