family,setting,phase,loss,error,recovered_target
Heatmap,32,0.5,0.035974833617188305,,"[266.61301282461704, 327.0496783067839, 486.486049359165, 639.5429459495182, 736.0601541231487]"
Heatmap,32,0.75,0.035974833617188305,,"[266.61301282461704, 327.0496783067839, 486.486049359165, 639.5429459495182, 736.0601541231487]"
Heatmap,64,0.0,0.02747278443703836,,"[279.7335176213851, 327.9627148179699, 485.69245752683486, 646.4298499196062, 726.6309770621743]"
Heatmap,64,0.25,0.02747278443703836,,"[279.7335176213851, 327.9627148179699, 485.69245752683486, 646.4298499196062, 726.6309770621743]"
Heatmap,64,0.5,0.02747278443703836,,"[279.7335176213851, 327.9627148179699, 485.69245752683486, 646.4298499196062, 726.6309770621743]"
Heatmap,64,0.75,0.02747278443703836,,"[279.7335176213851, 327.9627148179699, 485.69245752683486, 646.4298499196062, 726.6309770621743]"
Violin plot,8,0.0,0.6075214883467502,,"[144.24751720773048, 198.109224424253, 321.6909661797953, 455.53887026638813, 600.5399271197226]"
Violin plot,8,0.25,0.6055260964416918,,"[144.34886032091248, 198.14444884929827, 321.7805441959554, 455.95040664216685, 602.3804950235185]"
Violin plot,8,0.5,0.6057647784781337,,"[144.29941603220345, 198.1110885897986, 321.67245702948526, 456.3785645887448, 601.8467889214954]"
Violin plot,8,0.75,0.604090169555266,,"[144.31920753522905, 198.1267435869446, 322.1161146565969, 456.91954987192196, 602.9065412075595]"
Violin plot,16,0.0,0.09232773615718326,,"[264.7258436181661, 349.2222935060478, 471.5496913898258, 633.5317739560477, 788.8748185285373]"
Violin plot,16,0.25,0.09289673294783109,,"[264.8744817906535, 349.90844798079166, 471.68537526706797, 633.5993945536401, 789.2472930409632]"
Violin plot,16,0.5,0.09251978452882721,,"[264.7454868737351, 349.2262936609915, 471.2458477464618, 633.0890833881832, 788.3824489053335]"
Violin plot,16,0.75,0.09294816617747695,,"[265.04339226678377, 350.0511983564237, 471.826478054024, 633.6659839561039, 789.5450247084145]"
Violin plot,32,0.0,0.08235392616124738,,"[250.31521506573637, 333.7844205727719, 482.16207001178316, 648.6629712193284, 786.1341612742284]"
Violin plot,32,0.25,0.08284965071706904,,"[249.53939589257044, 333.37621082146677, 482.0053141618117, 648.5212471245595, 786.3972668199965]"
Violin plot,32,0.5,0.08254115605720783,,"[249.8297238392293, 333.5294720243565, 481.926926445453, 648.1230968523722, 785.8314248010987]"
Violin plot,32,0.75,0.08322228184725804,,"[250.52127841837068, 333.9740500473622, 482.4071342803269, 648.8334853227418, 787.1545310375367]"
Violin plot,64,0.0,0.07836746991591585,,"[248.47503087893693, 328.7442789322772, 480.2540392435767, 649.136125332142, 786.764178718117]"
Violin plot,64,0.25,0.0799167550786238,,"[248.67674706156413, 329.06792659720577, 481.1195800749606, 650.0764541725123, 788.6412265214666]"
