key,floor_multiplier,selected,changed
ILPD__02,2.0,Heatmap; Histogram,False
ILPD__03,2.0,Box,False
ILPD__04,2.0,Heatmap; Histogram,False
ILPD__05,2.0,Heatmap; Histogram,False
ILPD__06,2.0,Bar; Dot,False
ILPD__07,2.0,Bar; Dot,False
ILPD__08,2.0,Bar; Dot,False
Parkinsons__00,2.0,Bar; Dot,False
Parkinsons__01,2.0,Bar; Dot,False
Parkinsons__02,2.0,Bar; Dot,False
Parkinsons__03,2.0,Bar; Dot,False
Parkinsons__04,2.0,Bar; Dot,False
Parkinsons__05,2.0,Bar; Dot,False
Parkinsons__06,2.0,Bar; Dot,False
Parkinsons__07,2.0,Bar; Dot,False
Parkinsons__08,2.0,Box,False
Parkinsons__09,2.0,Box,False
Parkinsons__10,2.0,Box,False
Parkinsons__11,2.0,Box,False
Parkinsons__12,2.0,Bar; Dot,False
Parkinsons__13,2.0,Box,False
Parkinsons__14,2.0,Bar; Dot,False
Parkinsons__15,2.0,Bar; Dot,False
Parkinsons__16,2.0,Bar; Dot,False
Parkinsons__17,2.0,Bar; Dot,False
Parkinsons__18,2.0,Bar; Dot,False
Parkinsons__19,2.0,Bar; Dot,False
Parkinsons__20,2.0,Bar; Dot,False
Parkinsons__21,2.0,Bar; Dot,False
Retinopathy__00,2.0,Heatmap; Histogram,False
Retinopathy__01,2.0,Heatmap; Histogram,False
Retinopathy__02,2.0,Bar; Dot,False
Retinopathy__03,2.0,Bar; Dot,False
Retinopathy__04,2.0,Bar; Dot,False
Retinopathy__05,2.0,Bar; Dot,False
Retinopathy__06,2.0,Heatmap; Histogram,False
Retinopathy__07,2.0,Box,False
Retinopathy__08,2.0,Heatmap; Histogram,False
Retinopathy__09,2.0,Bar; Dot,False
Retinopathy__10,2.0,Heatmap; Histogram,False
Retinopathy__11,2.0,Heatmap; Histogram,False
Retinopathy__12,2.0,Heatmap; Histogram,False
Retinopathy__13,2.0,Heatmap; Histogram,False
Retinopathy__14,2.0,Bar; Dot,False
Retinopathy__15,2.0,Bar; Dot,False
WDBC__00,2.0,Heatmap; Histogram,False
WDBC__01,2.0,Bar; Dot,False
WDBC__02,2.0,Heatmap; Histogram,False
WDBC__03,2.0,Heatmap; Histogram,False
WDBC__04,2.0,Bar; Dot,False
WDBC__05,2.0,Box,False
WDBC__06,2.0,Heatmap; Histogram,False
WDBC__07,2.0,Box,False
WDBC__08,2.0,Bar; Dot,False
WDBC__09,2.0,Bar; Dot,False
WDBC__10,2.0,Heatmap; Histogram,False
WDBC__11,2.0,Bar; Dot,False
WDBC__12,2.0,Heatmap; Histogram,False
WDBC__13,2.0,Heatmap; Histogram,False
WDBC__14,2.0,Heatmap; Histogram,False
WDBC__15,2.0,Bar; Dot,False
WDBC__16,2.0,Bar; Dot,False
WDBC__17,2.0,Bar; Dot,False
WDBC__18,2.0,Bar; Dot,False
WDBC__19,2.0,Bar; Dot,False
WDBC__20,2.0,Heatmap; Histogram,False
WDBC__21,2.0,Bar; Dot,False
WDBC__22,2.0,Heatmap; Histogram,False
WDBC__23,2.0,Heatmap; Histogram,False
WDBC__24,2.0,Bar; Dot,False
WDBC__25,2.0,Box,False
WDBC__26,2.0,Bar; Dot,False
WDBC__27,2.0,Bar; Dot,False
WDBC__28,2.0,Heatmap; Histogram,False
WDBC__29,2.0,Bar; Dot,False
Wrist__00,2.0,Bar; Dot,False
Wrist__01,2.0,Bar; Dot,False
Wrist__02,2.0,Bar; Dot,False
Wrist__03,2.0,Bar; Dot,False
Wrist__04,2.0,Bar; Dot,False
