key,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected
WDBC__08,Forest,Mean contrast with interval,3,0.010874784942596943,0.5802562822343659,True,3.290128141117183,0.3039395297413687,False
WDBC__08,Box,Min-max box with mean markers,12,0.00809662921348317,0.4320195747175825,True,12.216009787358791,0.0818597903412624,False
WDBC__08,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__08,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__08,Histogram,10 common bins,22,0.0034100280898876623,0.18195212431303964,True,22.09097606215652,0.04526735247851153,False
WDBC__08,Heatmap,10 common bins,22,0.0034100280898876623,0.18195212431303964,True,22.09097606215652,0.04526735247851153,False
WDBC__08,Histogram,20 common bins,42,0.0036129146919431088,0.1927777384327928,True,42.0963888692164,0.02375500670869336,False
WDBC__08,Heatmap,20 common bins,42,0.0036129146919431088,0.1927777384327928,True,42.0963888692164,0.02375500670869336,False
WDBC__08,Histogram,40 common bins,82,0.0032567704807041353,0.17377461174627395,True,82.08688730587313,0.012182213661894477,False
WDBC__08,Heatmap,40 common bins,82,0.0032567704807041353,0.17377461174627395,True,82.08688730587313,0.012182213661894477,False
WDBC__08,Violin,64-point density per group,130,0.0031276926538312544,0.1668872829084622,True,130.08344364145424,0.007687373365947131,False
WDBC__08,Violin,128-point density per group,258,0.0031128095201981287,0.16609314933841549,True,258.0830465746692,0.003874721773755401,False
WDBC__08,Violin,256-point density per group,514,0.0031232678210848797,0.16665118288326877,True,514.0833255914416,0.0019452099498646876,False
WDBC__09,Bar,Mean bars,2,0.0037081152251021293,0.7845903883082282,True,2.392295194154114,0.41800861467415507,True
WDBC__09,Dot,Mean dots,2,0.0037081152251021293,0.7845903883082282,True,2.392295194154114,0.41800861467415507,True
WDBC__09,Interval,Means with intervals,6,0.0037081152251021293,0.7845903883082282,True,6.392295194154114,0.15643833234023996,False
WDBC__09,Forest,Mean contrast with interval,3,0.0037081152251021293,0.7845903883082282,True,3.392295194154114,0.29478566656677857,False
WDBC__09,Box,Min-max box with mean markers,12,0.002003567415730337,0.4239295818177502,True,12.211964790908874,0.08188690494296579,False
WDBC__09,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__09,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__09,Histogram,10 common bins,22,0.001286105925285698,0.2721237842056613,True,22.13606189210283,0.04517515377731916,False
WDBC__09,Heatmap,10 common bins,22,0.001286105925285698,0.2721237842056613,True,22.13606189210283,0.04517515377731916,False
WDBC__09,Histogram,20 common bins,42,0.0018097584269663042,0.382922045503177,True,42.19146102275159,0.02370147835034093,False
WDBC__09,Heatmap,20 common bins,42,0.0018097584269663042,0.382922045503177,True,42.19146102275159,0.02370147835034093,False
WDBC__09,Histogram,40 common bins,82,0.00176865826330537,0.3742257695223312,True,82.18711288476116,0.012167357690276237,False
WDBC__09,Heatmap,40 common bins,82,0.00176865826330537,0.3742257695223312,True,82.18711288476116,0.012167357690276237,False
WDBC__09,Violin,64-point density per group,130,0.0010273783486621085,0.21738029391847422,True,130.10869014695925,0.007685881695300203,False
WDBC__09,Violin,128-point density per group,258,0.0010029689560642624,0.21221557447095904,True,258.1061077872355,0.003874375575894274,False
WDBC__09,Violin,256-point density per group,514,0.0009962859189197176,0.21080152814553174,True,514.1054007640728,0.0019451264244915183,False
WDBC__10,Bar,Mean bars,2,0.35618843136378253,2.0029830395207564,False,,0.0,False
WDBC__10,Dot,Mean dots,2,0.35618843136378253,2.0029830395207564,False,,0.0,False
WDBC__10,Interval,Means with intervals,6,0.35618843136378253,2.0029830395207564,False,,0.0,False
WDBC__10,Forest,Mean contrast with interval,3,0.35618843136378253,2.0029830395207564,False,,0.0,False
WDBC__10,Box,Min-max box with mean markers,12,1.0058799999999999,5.656445865125311,False,,0.0,False
WDBC__10,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__10,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__10,Histogram,10 common bins,22,0.09327923578199071,0.5245446251452364,True,22.26227231257262,0.04491904446947448,True
WDBC__10,Heatmap,10 common bins,22,0.09327923578199071,0.5245446251452364,True,22.26227231257262,0.04491904446947448,True
WDBC__10,Histogram,20 common bins,42,0.039732456556082374,0.22343071698206865,True,42.11171535849103,0.023746361113223303,False
WDBC__10,Heatmap,20 common bins,42,0.039732456556082374,0.22343071698206865,True,42.11171535849103,0.023746361113223303,False
WDBC__10,Histogram,40 common bins,82,0.04562223045023717,0.25655115599081213,True,82.12827557799541,0.012176074475718439,False
WDBC__10,Heatmap,40 common bins,82,0.04562223045023717,0.25655115599081213,True,82.12827557799541,0.012176074475718439,False
WDBC__10,Violin,64-point density per group,130,0.04139515080240197,0.23278067919879641,True,130.1163903395994,0.007685426850453149,False
WDBC__10,Violin,128-point density per group,258,0.0458891482850885,0.2580521365086403,True,258.12902606825435,0.0038740315850243844,False
WDBC__10,Violin,256-point density per group,514,0.04783197063072486,0.2689773655853173,True,514.1344886827926,0.0019450163760886571,False
WDBC__11,Bar,Mean bars,2,0.21747833082141077,0.4934033359021725,True,2.2467016679510863,0.4450969233097891,True
WDBC__11,Dot,Mean dots,2,0.21747833082141077,0.4934033359021725,True,2.2467016679510863,0.4450969233097891,True
WDBC__11,Interval,Means with intervals,6,0.21747833082141077,0.4934033359021725,True,6.246701667951086,0.16008448188434127,False
