key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score,Area,Bar,Box,Bubble,Dot,Forest,Heatmap,Histogram,Interval,Line,Pie / donut,Raincloud,Scatter,Stacked bar,Violin,dataset_doi,dataset_source_url
WDBC__10,WDBC,radius error,source units,"['Benign', 'Malignant']",Distribution detail required,2.0029830395207564,5.656445865125311,0.9090909090909092,357,212,False,0.2286032068461238,0.1778289802438896,0.1778289802438896,0.0228603206846123,0.1,0.3250001942286348,0.2897,0.2326249999999999,Heatmap; Histogram,0.0449190444694744,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0449190444694744,0.0449190444694744,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076854268504531,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__11,WDBC,texture error,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.4934033359021725,2.0622783829186284,0.9292929292929292,357,212,False,0.552115606860959,0.4407719101123596,0.4407719101123596,0.0552115606860958,0.1,-0.0094654894033086,-0.0055,-0.159675,Bar; Dot,0.4450969233097891,0.0,0.4450969233097891,0.0,0.0,0.4450969233097891,0.3080048930492204,0.0452496931522504,0.0452496931522504,0.1600844818843412,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076858692216829,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__12,WDBC,perimeter error,source units,"['Benign', 'Malignant']",Distribution detail required,2.1323123305055987,6.390451261353952,0.8888888888888888,357,212,False,1.681820494847905,1.3762721348314602,1.3762721348314602,0.1681820494847905,0.1,2.323607956767612,1.8285,1.5477500000000008,Heatmap; Histogram,0.0450869741787838,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0450869741787838,0.0450869741787838,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076843171688272,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__13,WDBC,area error,source units,"['Benign', 'Malignant']",Distribution detail required,2.0554060423169798,8.116962707669916,0.9696969696969696,357,212,False,38.07874145019458,32.87806161137441,32.87806161137441,3.8078741450194578,0.1,51.5372572009936,38.825,48.4675,Heatmap; Histogram,0.0447408666994655,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0447408666994655,0.0447408666994655,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.007683507274265,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__14,WDBC,smoothness error,source units,"['Benign', 'Malignant']",Distribution detail required,1.004274069168153,4.826341727449467,0.6464646464646465,357,212,False,0.0029984085907428,0.0020384797752808,0.0020384797752808,0.0002998408590742,0.1,-0.0004158076211616,-0.0003205,-0.00043575,Heatmap; Histogram,0.045131167880003,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.045131167880003,0.045131167880003,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076872085813544,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__15,WDBC,compactness error,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.3410020859168751,0.6715404365238424,0.9696969696969696,357,212,False,0.0171373295210721,0.0185579528089887,0.0185579528089887,0.0017137329521072,0.1,0.0108429185957401,0.0122799999999999,0.0046775,Bar; Dot,0.460723114252449,0.0,0.460723114252449,0.0810650638190063,0.0,0.460723114252449,0.3154075606506933,0.0452936187920347,0.0452936187920347,0.1620613938865087,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076875379529984,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__16,WDBC,concavity error,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.2547613753561122,8.225874518010643,0.9696969696969696,357,212,False,0.0292239625234014,0.0257527893258427,0.0257527893258427,0.0029223962523401,0.1,0.0158272738597325,0.018725,0.003875,Bar; Dot,0.4700616141681048,0.0,0.4700616141681048,0.0,0.0,0.4700616141681048,0.3197564031587265,0.0448653628432858,0.0448653628432858,0.1632018722144952,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076859298783529,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__17,WDBC,concave points error,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.3884466851892363,3.461644139676055,0.9696969696969696,357,212,False,0.0056382075124742,0.0043837550561797,0.0043837550561797,0.0005638207512474,0.1,0.0052028190370487,0.005144,0.0006454999999999,Bar; Dot,0.4557421209536141,0.0,0.4557421209536141,0.0,0.0,0.4557421209536141,0.313065146906013,0.0450709862774778,0.0450709862774778,0.1614407399751787,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076871168830489,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__18,WDBC,symmetry error,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.7873487667661347,0.8360309071549672,0.8181818181818182,357,212,False,0.0082734819319271,0.0138409586239948,0.0138409586239948,0.0008273481931927,0.1,-0.0001114057792928,-0.0013899999999999,-0.0009425,Bar; Dot,0.4177677661347838,0.0,0.4177677661347838,0.0805281652079046,0.0,0.4177677661347838,0.2946658656753997,0.0451707641094394,0.0451707641094394,0.1564045867895563,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076855790395922,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__19,WDBC,fractal dimension error,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.3770543777965502,5.24920123780307,0.9494949494949496,357,212,False,0.0026403403151483,0.0024675468539325,0.0024675468539325,0.0002640340315148,0.1,0.0004263543998731,0.0009314999999999,0.0001039999999999,Bar; Dot,0.4569282963778984,0.0,0.4569282963778984,0.0,0.0,0.4569282963778984,0.3136244230507966,0.0451900360569001,0.0451900360569001,0.1615893361176339,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076860285689427,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__20,WDBC,worst radius,source units,"['Benign', 'Malignant']",Distribution detail required,1.909603792538324,1.3690950523563838,0.6464646464646465,357,212,False,3.04846886809422,2.373000000000004,2.373000000000004,0.3048468868094219,0.1,7.755010200306538,7.24,3.3574999999999964,Heatmap; Histogram,0.0451115316585335,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0451115316585335,0.0451115316585335,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076831403714858,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__21,WDBC,worst texture,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.480088483075427,0.867491272513071,0.8484848484848485,357,212,False,5.472017326293327,3.5841763539059546,3.5841763539059546,0.5472017326293327,0.1,5.803137519158604,6.125,-0.0225000000000044,Bar; Dot,0.4464197543319654,0.0,0.4464197543319654,0.0804262873999948,0.0,0.4464197543319654,0.308637760923105,0.0451402432119102,0.0451402432119102,0.1602552740481169,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076850168208587,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__22,WDBC,worst perimeter,source units,"['Benign', 'Malignant']",Distribution detail required,1.888782776535475,1.6589827535651,0.6464646464646465,357,212,False,20.923568725165023,17.617488151658744,17.617488151658744,2.0923568725165023,0.1,54.36439181332912,51.08,22.155,Heatmap; Histogram,0.0452276004047391,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0452276004047391,0.0452276004047391,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076842909681084,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__23,WDBC,worst area,source units,"['Benign', 'Malignant']",Distribution detail required,2.170708562365906,2.5434438867876112,0.898989898989899,357,212,False,387.1270649634207,383.8760916449224,383.8760916449224,38.71270649634207,0.1,863.386880978807,755.6,519.5500000000001,Heatmap; Histogram,0.0450844172429834,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0450844172429834,0.0450844172429834,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076827590448352,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__24,WDBC,worst smoothness,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.5035431147563106,0.3936242416061035,0.9393939393939394,357,212,False,0.0207237191083447,0.0126389573459715,0.0126389573459715,0.0020723719108344,0.1,0.0198857400507372,0.0180499999999999,-0.0017,Bar; Dot,0.4440947824939877,0.0,0.4440947824939877,0.0819886368745802,0.0,0.4440947824939877,0.3075246776579478,0.0451333881797933,0.0451333881797933,0.1599546609824266,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076860790543905,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__25,WDBC,worst compactness,source units,"['Benign', 'Malignant']",Quartile summary sufficient,1.3591917270243157,0.8775038798519029,0.6060606060606061,357,212,False,0.1270309458020991,0.1117674881516587,0.1117674881516587,0.0127030945802099,0.1,0.192151554753977,0.18655,0.0851749999999999,Box,0.080393917720169,0.0,0.0,0.080393917720169,0.0,0.0017574692442882,0.0,0.0452071523595677,0.0452071523595677,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076861914320829,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
