key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score
HeartFailure__01,HeartFailure,creatinine_phosphokinase,source units,"['Survived', 'Died']",Mean summary sufficient,0.1025111518647242,0.5329803911055178,0.9595959595959596,203,96,False,970.005938479382,3730.047368421051,3730.047368421051,97.0005938479382,0.1,130.14372947454842,14.0,-19.75,Bar; Dot,0.4875062921135352
HeartFailure__02,HeartFailure,ejection_fraction,%,"['Survived', 'Died']",Mean summary sufficient,0.45450065877119633,0.62853359814631,1.0,203,96,False,11.419096433615184,14.955445544554443,14.955445544554443,1.1419096433615186,0.1,-6.797259852216747,-8.0,3.0,Bar; Dot,0.448984106908116
HeartFailure__03,HeartFailure,platelets,source units,"['Survived', 'Died']",Mean summary sufficient,0.3053525444218572,1.8530720030001275,0.98989898989899,203,96,False,97850.40155228524,101048.42105263157,101048.42105263157,9785.040155228524,0.1,-10276.445109811146,-4500.0,31000.0,Bar; Dot,0.46453803245247816
HeartFailure__04,HeartFailure,serum_creatinine,mg/dL,"['Survived', 'Died']",Mean summary sufficient,0.5047258242247332,0.46271825310861825,0.8686868686868687,203,96,False,0.9903650404345195,2.429578947368419,2.429578947368419,0.09903650404345195,0.1,0.6509564860426931,0.30000000000000004,0.5249999999999998,Bar; Dot,0.4439781860296018
HeartFailure__05,HeartFailure,serum_sodium,mEq/L,"['Survived', 'Died']",Mean summary sufficient,0.5963795946427939,1.2695708185718892,0.9292929292929293,203,96,False,4.3348727080007405,4.764999999999997,4.764999999999997,0.4334872708000741,0.1,-1.841748768472911,-1.5,0.75,Bar; Dot,0.4351250715521961
CKD__00,CKD,age,years,"['Non-CKD', 'CKD']",Quartile summary sufficient,1.1158629206854365,0.6216415264177195,0.7272727272727273,149,242,False,16.74190091808664,15.21203319502074,15.21203319502074,1.674190091808664,0.1,8.024543790559655,13.0,-5.0,Box,0.08122935255369167
CKD__01,CKD,bp,mmHg,"['Non-CKD', 'CKD']",Mean summary sufficient,0.5863175675675677,3.1,0.98989898989899,148,240,False,13.095502108190471,20.0,20.0,1.3095502108190473,0.1,8.273648648648646,10.0,0.0,Bar; Dot,0.436079702405068
CKD__02,CKD,bgr,source units,"['Non-CKD', 'CKD']",Distribution detail required,2.166266635206563,1.2433860811879616,0.7878787878787878,144,212,False,72.06365919449946,77.29999999999998,77.29999999999998,7.206365919449947,0.1,67.69758909853249,36.0,83.0,Heatmap; Histogram,0.045197799382309424
CKD__03,CKD,bu,source units,"['Non-CKD', 'CKD']",Distribution detail required,2.606495993598204,3.9666453430299793,0.9797979797979798,144,237,False,46.76361459085069,37.75550847457627,37.75550847457627,4.6763614590850695,0.1,39.590418424753864,20.0,40.75,Heatmap; Histogram,0.044862856716279514
CKD__04,CKD,sc,source units,"['Non-CKD', 'CKD']",Distribution detail required,2.188818296232542,11.9863184079602,0.98989898989899,145,238,False,5.483923029459524,4.02,4.02,0.5483923029459524,0.1,3.545950449145175,1.35,2.625,Heatmap; Histogram,0.02360691344791448
CKD__05,CKD,sod,source units,"['Non-CKD', 'CKD']",Mean summary sufficient,0.8963439039408883,11.325,0.5858585858585859,145,168,False,9.661828598257197,8.0,8.0,0.9661828598257197,0.1,-7.829248768472894,-5.0,-1.0,Bar; Dot,0.4084680404883883
CKD__06,CKD,pot,source units,"['Non-CKD', 'CKD']",Distribution detail required,1.6341867988161614,53.83333333333336,0.9696969696969697,145,167,False,3.187598840729353,0.5999999999999996,0.5999999999999996,0.3187598840729353,0.1,0.5405120792896962,-0.20000000000000018,-0.14999999999999947,Dot; Raincloud,0.003205128205128205
CKD__07,CKD,hemo,source units,"['Non-CKD', 'CKD']",Distribution detail required,1.531681839402428,1.8177339901477836,0.8282828282828283,144,204,False,1.8648394877891774,1.3999999999999995,1.3999999999999995,0.18648394877891775,0.1,-4.540645424836603,-4.1,0.45000000000000107,Heatmap; Histogram,0.0451716781057441
