key,dataset,feature,primary,n_A,n_B,contract,configuration,representation,N
CKD__04,CKD,sc,True,145,238,equal,raw,Observations,383
CKD__05,CKD,sod,True,145,168,payload,means,Means,2
CKD__05,CKD,sod,True,145,168,legacy_box,means,Means,2
CKD__05,CKD,sod,True,145,168,free_parameters,means,Means,2
CKD__05,CKD,sod,True,145,168,equal,raw,Observations,313
CKD__06,CKD,pot,True,145,167,payload,bins_32,Binned,66
CKD__06,CKD,pot,True,145,167,legacy_box,bins_32,Binned,66
CKD__06,CKD,pot,True,145,167,free_parameters,bins_32,Binned,66
CKD__06,CKD,pot,True,145,167,equal,raw,Observations,312
CKD__07,CKD,hemo,True,144,204,payload,bins_8,Binned,18
CKD__07,CKD,hemo,True,144,204,legacy_box,bins_8,Binned,18
CKD__07,CKD,hemo,True,144,204,free_parameters,bins_8,Binned,18
CKD__07,CKD,hemo,True,144,204,equal,raw,Observations,348
CKD__08,CKD,pcv,True,146,183,payload,bins_8,Binned,18
CKD__08,CKD,pcv,True,146,183,legacy_box,bins_8,Binned,18
CKD__08,CKD,pcv,True,146,183,free_parameters,bins_8,Binned,18
CKD__08,CKD,pcv,True,146,183,equal,raw,Observations,329
CKD__09,CKD,wc,True,143,151,payload,bins_4,Binned,10
CKD__09,CKD,wc,True,143,151,legacy_box,bins_4,Binned,10
CKD__09,CKD,wc,True,143,151,free_parameters,bins_4,Binned,10
CKD__09,CKD,wc,True,143,151,equal,raw,Observations,294
CKD__10,CKD,rc,True,143,126,payload,means,Means,2
CKD__10,CKD,rc,True,143,126,legacy_box,means,Means,2
CKD__10,CKD,rc,True,143,126,free_parameters,means,Means,2
CKD__10,CKD,rc,True,143,126,equal,raw,Observations,269
ILPD__00,ILPD,age,True,167,416,payload,means,Means,2
ILPD__00,ILPD,age,True,167,416,legacy_box,means,Means,2
ILPD__00,ILPD,age,True,167,416,free_parameters,means,Means,2
ILPD__00,ILPD,age,True,167,416,equal,raw,Observations,583
ILPD__01,ILPD,total_bilirubin,True,167,416,payload,bins_16,Binned,34
ILPD__01,ILPD,total_bilirubin,True,167,416,legacy_box,bins_16,Binned,34
ILPD__01,ILPD,total_bilirubin,True,167,416,free_parameters,bins_16,Binned,34
ILPD__01,ILPD,total_bilirubin,True,167,416,equal,raw,Observations,583
ILPD__02,ILPD,direct_bilirubin,True,167,416,payload,bins_8,Binned,18
ILPD__02,ILPD,direct_bilirubin,True,167,416,legacy_box,bins_8,Binned,18
ILPD__02,ILPD,direct_bilirubin,True,167,416,free_parameters,bins_8,Binned,18
ILPD__02,ILPD,direct_bilirubin,True,167,416,equal,raw,Observations,583
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,payload,five_number,Five-number,10
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,legacy_box,five_number,Five-number,10
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,free_parameters,five_number,Five-number,10
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,equal,raw,Observations,583
ILPD__04,ILPD,ALT,True,167,416,payload,bins_16,Binned,34
ILPD__04,ILPD,ALT,True,167,416,legacy_box,bins_16,Binned,34
ILPD__04,ILPD,ALT,True,167,416,free_parameters,bins_16,Binned,34
ILPD__04,ILPD,ALT,True,167,416,equal,raw,Observations,583
ILPD__05,ILPD,AST,True,167,416,payload,density_16,Density,34
ILPD__05,ILPD,AST,True,167,416,legacy_box,density_16,Density,34
ILPD__05,ILPD,AST,True,167,416,free_parameters,bins_16,Binned,34
ILPD__05,ILPD,AST,True,167,416,equal,raw,Observations,583
ILPD__06,ILPD,total_protein,True,167,416,payload,means,Means,2
ILPD__06,ILPD,total_protein,True,167,416,legacy_box,means,Means,2
ILPD__06,ILPD,total_protein,True,167,416,free_parameters,means,Means,2
ILPD__06,ILPD,total_protein,True,167,416,equal,raw,Observations,583
ILPD__07,ILPD,albumin,True,167,416,payload,means,Means,2
ILPD__07,ILPD,albumin,True,167,416,legacy_box,means,Means,2
ILPD__07,ILPD,albumin,True,167,416,free_parameters,means,Means,2
ILPD__07,ILPD,albumin,True,167,416,equal,raw,Observations,583
