scenario,n_A,n_B,replicate,seed,method,configuration,N,error,train_tolerance,test_tolerance,passes_reestimated,passes_frozen,passes_fixed,population_error,population_pass
null,20,20,21,9302021,Raw,raw,40,0.0,1.714137034451671,2.2454222571465063,True,True,True,0.5601786910427773,False
null,20,20,21,9302021,8-bin,bins_8,18,0.5430187551237906,1.714137034451671,2.2454222571465063,True,True,False,0.33433213803696005,False
null,20,20,21,9302021,8-grid density,density_8,18,0.3483343064725414,1.714137034451671,2.2454222571465063,True,True,False,0.6456246214696195,False
null,20,20,22,9302022,Adaptive,means,2,0.6163871813613644,1.419461990937995,1.7038986949596175,True,True,False,0.6223436460834568,False
null,20,20,22,9302022,Fixed-budget adaptive,raw,40,0.0,1.419461990937995,1.7038986949596175,True,True,True,1.015538578304553,False
null,20,20,22,9302022,Means,means,2,0.6163871813613644,1.419461990937995,1.7038986949596175,True,True,False,0.6223436460834568,False
null,20,20,22,9302022,Five-number,five_number,10,0.41728846022148836,1.419461990937995,1.7038986949596175,True,True,False,0.8606185918405295,False
null,20,20,22,9302022,Raw,raw,40,0.0,1.419461990937995,1.7038986949596175,True,True,True,1.015538578304553,False
null,20,20,22,9302022,8-bin,bins_8,18,0.36753215378533066,1.419461990937995,1.7038986949596175,True,True,False,0.8268388853376551,False
null,20,20,22,9302022,8-grid density,density_8,18,0.523486709900823,1.419461990937995,1.7038986949596175,True,True,False,1.1453818061695529,False
null,20,20,23,9302023,Adaptive,means,2,0.40770757371834315,1.5479067478587085,1.235093429658364,True,True,False,0.019664400610229615,True
null,20,20,23,9302023,Fixed-budget adaptive,raw,40,0.0,1.5479067478587085,1.235093429658364,True,True,True,0.4273111745577767,False
null,20,20,23,9302023,Means,means,2,0.40770757371834315,1.5479067478587085,1.235093429658364,True,True,False,0.019664400610229615,True
null,20,20,23,9302023,Five-number,five_number,10,0.2895620117046167,1.5479067478587085,1.235093429658364,True,True,False,0.2139536807858251,False
null,20,20,23,9302023,Raw,raw,40,0.0,1.5479067478587085,1.235093429658364,True,True,True,0.4273111745577767,False
null,20,20,23,9302023,8-bin,bins_8,18,0.32255707860408545,1.5479067478587085,1.235093429658364,True,True,False,0.4247487718725521,False
null,20,20,23,9302023,8-grid density,density_8,18,0.28444014044973287,1.5479067478587085,1.235093429658364,True,True,False,0.42751819118204004,False
null,20,20,24,9302024,Adaptive,means,2,0.53158551187033,1.949277271775592,1.5054270603346973,True,True,False,0.08525608440100177,True
null,20,20,24,9302024,Fixed-budget adaptive,raw,40,0.0,1.949277271775592,1.5054270603346973,True,True,True,0.4458064305661129,False
null,20,20,24,9302024,Means,means,2,0.53158551187033,1.949277271775592,1.5054270603346973,True,True,False,0.08525608440100177,True
null,20,20,24,9302024,Five-number,five_number,10,0.823787332979792,1.949277271775592,1.5054270603346973,True,True,False,0.6329796484675307,False
null,20,20,24,9302024,Raw,raw,40,0.0,1.949277271775592,1.5054270603346973,True,True,True,0.4458064305661129,False
null,20,20,24,9302024,8-bin,bins_8,18,0.44632942746932824,1.949277271775592,1.5054270603346973,True,True,False,0.5448002099685945,False
null,20,20,24,9302024,8-grid density,density_8,18,0.4802264190436666,1.949277271775592,1.5054270603346973,True,True,False,0.29574349128403665,False
null,20,20,25,9302025,Adaptive,means,2,0.8023502218410817,1.4114089849188158,1.3778337043583673,True,True,False,0.10236606439621403,True
null,20,20,25,9302025,Fixed-budget adaptive,raw,40,0.0,1.4114089849188158,1.3778337043583673,True,True,True,0.9047162862372957,False
null,20,20,25,9302025,Means,means,2,0.8023502218410817,1.4114089849188158,1.3778337043583673,True,True,False,0.10236606439621403,True
null,20,20,25,9302025,Five-number,five_number,10,0.39369450270540174,1.4114089849188158,1.3778337043583673,True,True,False,1.2787260638074263,False
null,20,20,25,9302025,Raw,raw,40,0.0,1.4114089849188158,1.3778337043583673,True,True,True,0.9047162862372957,False
null,20,20,25,9302025,8-bin,bins_8,18,0.4859484415328187,1.4114089849188158,1.3778337043583673,True,True,False,1.1846435857024418,False
null,20,20,25,9302025,8-grid density,density_8,18,0.6288257177487494,1.4114089849188158,1.3778337043583673,True,True,False,0.5869092693748839,False
null,20,20,26,9302026,Adaptive,means,2,0.6717953307080533,1.8225045735166288,1.6019731732244815,True,True,False,0.5935488262048085,False
null,20,20,26,9302026,Fixed-budget adaptive,raw,40,0.0,1.8225045735166288,1.6019731732244815,True,True,True,1.2653441569128618,False
null,20,20,26,9302026,Means,means,2,0.6717953307080533,1.8225045735166288,1.6019731732244815,True,True,False,0.5935488262048085,False
null,20,20,26,9302026,Five-number,five_number,10,0.5067426908859038,1.8225045735166288,1.6019731732244815,True,True,False,1.2413762302813671,False
null,20,20,26,9302026,Raw,raw,40,0.0,1.8225045735166288,1.6019731732244815,True,True,True,1.2653441569128618,False
null,20,20,26,9302026,8-bin,bins_8,18,0.34211108019153424,1.8225045735166288,1.6019731732244815,True,True,False,1.051947545336028,False
null,20,20,26,9302026,8-grid density,density_8,18,0.3769084061090754,1.8225045735166288,1.6019731732244815,True,True,False,1.1308436469922944,False
null,20,20,27,9302027,Adaptive,means,2,0.8626298189162558,1.5381875018437972,1.5029878632152687,True,True,False,0.03923426701012644,True
