key,dataset,feature,primary,n_A,n_B,detail,representation,configuration,N,error,error_ratio,scale,tolerance,agreement,provisional
HAR__21,HAR,tBodyGyro-std()-X,True,30,30,Quartiles,Five-number,five_number,10,0.10751425831034489,0.530175154107815,0.1005996314621226,0.20279007319999964,0.7447447447447447,True
HAR__22,HAR,tBodyGyro-std()-Y,True,30,30,Quartiles,Five-number,five_number,10,0.1251924633025,0.4908231292104027,0.16450370076594986,0.2550663484500001,0.953953953953954,False
HAR__23,HAR,tBodyGyro-std()-Z,True,30,30,Quartiles,Five-number,five_number,10,0.08577797017241384,0.5627641003275978,0.10072213834853211,0.15242260500000004,0.963963963963964,False
HAR__24,HAR,tBodyGyroJerk-mean()-X,True,30,30,Quartiles,Five-number,five_number,10,0.026441566825,0.6487693526808902,0.02125501159415388,0.040756498,0.6786786786786787,True
HAR__25,HAR,tBodyGyroJerk-mean()-Y,True,30,30,Quartiles,Five-number,five_number,10,0.003098983965517249,0.26126161767819456,0.009175949441007292,0.011861612100000009,1.0,False
HAR__26,HAR,tBodyGyroJerk-mean()-Z,True,30,30,Mean,Means,means,2,0.030459586491666663,0.7772158477551443,0.016248120067420675,0.03919063999999999,0.7367367367367368,True
HAR__27,HAR,tBodyGyroJerk-std()-X,True,30,30,Mean,Means,means,2,0.1846357857166666,0.6053368570333559,0.10826259727254432,0.3050132889999999,0.8398398398398398,False
HAR__28,HAR,tBodyGyroJerk-std()-Y,True,30,30,Mean,Means,means,2,0.3670997149999997,0.8173976625570518,0.16190986516071987,0.44910786,0.7197197197197197,True
HAR__29,HAR,tBodyGyroJerk-std()-Z,True,30,30,Quartiles,Five-number,five_number,10,0.026304752413793153,0.16352003365413295,0.09400842260458322,0.16086562500000012,0.975975975975976,False
HAR__30,HAR,tBodyAccMag-mean(),True,30,30,Quartiles,Five-number,five_number,10,0.06527286075000016,0.49124475472854934,0.08158665657615931,0.13287238209000005,0.9209209209209209,False
HAR__31,HAR,tBodyAccMag-std(),True,30,30,Quartiles,Five-number,five_number,10,0.04321412293103455,0.4167970400900536,0.08719094757837814,0.10368145350000005,0.998998998998999,False
HAR__32,HAR,tGravityAccMag-mean(),True,30,30,Quartiles,Five-number,five_number,10,0.06527286075000016,0.4743061199457819,0.08158665657615931,0.13761758072499997,0.9019019019019019,False
HAR__33,HAR,tGravityAccMag-std(),True,30,30,Quartiles,Five-number,five_number,10,0.04321412293103455,0.43383195268888597,0.08719094757837814,0.09961028149999986,0.998998998998999,False
HAR__34,HAR,tBodyAccJerkMag-mean(),True,30,30,Quartiles,Five-number,five_number,10,0.1045152262500002,0.5771921984504377,0.10096731169281777,0.18107525800000002,0.7277277277277278,True
HAR__35,HAR,tBodyAccJerkMag-std(),True,30,30,Quartiles,Five-number,five_number,10,0.0759689615000001,0.5015552055074468,0.12144454644501483,0.15146679899999993,0.998998998998999,False
HAR__36,HAR,tBodyGyroMag-mean(),True,30,30,Quartiles,Five-number,five_number,10,0.056105092155172676,0.27724474812899047,0.11896891468703615,0.20236665449499985,0.9679679679679679,False
HAR__37,HAR,tBodyGyroMag-std(),True,30,30,Quartiles,Five-number,five_number,10,0.17193084586206886,0.790297511461122,0.13545651616736923,0.21755205269999997,0.7497497497497497,True
HAR__38,HAR,tBodyGyroJerkMag-mean(),True,30,30,Mean,Means,means,2,0.23084481796,0.9817503786475282,0.10716705772563073,0.23513596019999988,0.6056056056056056,True
HAR__39,HAR,tBodyGyroJerkMag-std(),True,30,30,Quartiles,Five-number,five_number,10,0.26012737982758627,0.7116247627656551,0.15141721626195545,0.3655400900000001,0.46846846846846846,True
BIDMC__00,BIDMC,mean,True,46,46,Mean,Means,means,2,3.29640575400488,0.573028972777864,12.360952402314334,5.752598752598743,0.972972972972973,False
BIDMC__01,BIDMC,median,True,46,46,Mean,Means,means,2,1.5652173913043583,0.3913043478260896,12.341693210590993,4.0,1.0,False
BIDMC__02,BIDMC,q10,True,46,46,Mean,Means,means,2,2.5869565217391397,0.22446477412053317,13.788586612591837,11.524999999999977,0.9279279279279279,False
BIDMC__03,BIDMC,q90,True,46,46,Mean,Means,means,2,2.326086956521749,0.5815217391304373,13.049376685652765,4.0,0.973973973973974,False
BIDMC__04,BIDMC,SD,True,46,46,Mean,Means,means,2,3.731045083945992,0.792967052776044,3.71002338580408,4.705170373578867,0.8148148148148148,False
Wrist__00,Wrist,mean,True,8,8,Mean,Means,means,2,6.097638687811667,0.4632920077243722,29.715915839607305,13.161545172692371,1.0,False
Wrist__01,Wrist,median,True,8,8,Mean,Means,means,2,6.197104640093983,0.44475486138762865,29.818851703041652,13.933753575529465,1.0,False
Wrist__02,Wrist,q10,True,8,8,Mean,Means,means,2,6.913014906248833,0.5526091177525242,30.432332918765674,12.509773516521491,0.987987987987988,False
Wrist__03,Wrist,q90,True,8,8,Mean,Means,means,2,5.706539345798333,0.44594452235605875,29.194196643150427,12.796523019610092,1.0,False
Wrist__04,Wrist,SD,True,8,8,Mean,Means,means,2,1.2216705040453593,0.6498370190963002,1.0871690248123866,1.8799644651581757,0.8578578578578578,False
