key,dataset,feature,primary,n_A,n_B,setting,configuration,detail,tolerance
WDBC__14,WDBC,smoothness error,True,357,212,fixed_0.2,density_32,Distribution,0.0005996817181485617
WDBC__15,WDBC,compactness error,True,357,212,percentile_0.8,means,Mean,0.011612532584269655
WDBC__15,WDBC,compactness error,True,357,212,percentile_0.9,means,Mean,0.014656798876404505
WDBC__15,WDBC,compactness error,True,357,212,percentile_0.95,means,Mean,0.017328799052132644
WDBC__15,WDBC,compactness error,True,357,212,percentile_0.99,means,Mean,0.021826090047393384
WDBC__15,WDBC,compactness error,True,357,212,band_0.01_0.99,means,Mean,0.036749042559241524
WDBC__15,WDBC,compactness error,True,357,212,band_0.1_0.9,means,Mean,0.010047185393258428
WDBC__15,WDBC,compactness error,True,357,212,fixed_0.05,raw,Distribution,0.0008568664760536049
WDBC__15,WDBC,compactness error,True,357,212,fixed_0.1,bins_64,Distribution,0.0017137329521072098
WDBC__15,WDBC,compactness error,True,357,212,fixed_0.2,bins_8,Distribution,0.0034274659042144197
WDBC__16,WDBC,concavity error,True,357,212,percentile_0.8,means,Mean,0.017242696629213496
WDBC__16,WDBC,concavity error,True,357,212,percentile_0.9,means,Mean,0.020977579104318644
WDBC__16,WDBC,concavity error,True,357,212,percentile_0.95,means,Mean,0.024739228651685315
WDBC__16,WDBC,concavity error,True,357,212,percentile_0.99,means,Mean,0.029792910449438208
WDBC__16,WDBC,concavity error,True,357,212,band_0.01_0.99,means,Mean,0.11671067999999962
WDBC__16,WDBC,concavity error,True,357,212,band_0.1_0.9,means,Mean,0.013129450236966862
WDBC__16,WDBC,concavity error,True,357,212,fixed_0.05,raw,Distribution,0.0014611981261700706
WDBC__16,WDBC,concavity error,True,357,212,fixed_0.1,bins_64,Distribution,0.0029223962523401413
WDBC__16,WDBC,concavity error,True,357,212,fixed_0.2,bins_32,Distribution,0.0058447925046802825
WDBC__17,WDBC,concave points error,True,357,212,percentile_0.8,means,Mean,0.0034530587677725033
WDBC__17,WDBC,concave points error,True,357,212,percentile_0.9,means,Mean,0.004017431279620853
WDBC__17,WDBC,concave points error,True,357,212,percentile_0.95,means,Mean,0.00453000087864103
WDBC__17,WDBC,concave points error,True,357,212,percentile_0.99,means,Mean,0.006591305355450233
WDBC__17,WDBC,concave points error,True,357,212,band_0.01_0.99,means,Mean,0.01283674719101123
WDBC__17,WDBC,concave points error,True,357,212,band_0.1_0.9,means,Mean,0.003065936018957359
WDBC__17,WDBC,concave points error,True,357,212,fixed_0.05,raw,Distribution,0.000281910375623715
WDBC__17,WDBC,concave points error,True,357,212,fixed_0.1,raw,Distribution,0.00056382075124743
WDBC__17,WDBC,concave points error,True,357,212,fixed_0.2,bins_16,Distribution,0.00112764150249486
WDBC__18,WDBC,symmetry error,True,357,212,percentile_0.8,means,Mean,0.011001557537675068
WDBC__18,WDBC,symmetry error,True,357,212,percentile_0.9,means,Mean,0.013279599999999994
WDBC__18,WDBC,symmetry error,True,357,212,percentile_0.95,means,Mean,0.013870130331753544
WDBC__18,WDBC,symmetry error,True,357,212,percentile_0.99,means,Mean,0.015769714044943824
WDBC__18,WDBC,symmetry error,True,357,212,band_0.01_0.99,means,Mean,0.020638299999999762
WDBC__18,WDBC,symmetry error,True,357,212,band_0.1_0.9,means,Mean,0.0059271042654028445
WDBC__18,WDBC,symmetry error,True,357,212,fixed_0.05,raw,Distribution,0.0004136740965963586
WDBC__18,WDBC,symmetry error,True,357,212,fixed_0.1,raw,Distribution,0.0008273481931927172
WDBC__18,WDBC,symmetry error,True,357,212,fixed_0.2,raw,Distribution,0.0016546963863854345
WDBC__19,WDBC,fractal dimension error,True,357,212,percentile_0.8,means,Mean,0.0017009703711592743
