key,representation,configuration,N,error
HeartFailure__00,Density,density_32,66,3.6920471086182616
HeartFailure__00,Density,density_64,130,3.657035244642138
HeartFailure__00,Density,density_128,258,3.662108159355185
HeartFailure__00,Density,density_256,514,3.6583455303157564
HeartFailure__01,Means,means,2,382.37145224682524
HeartFailure__01,Five-number,five_number,10,1988.0421052631589
HeartFailure__01,Observations,raw,299,0.0
HeartFailure__01,Binned,bins_4,10,909.3697916666579
HeartFailure__01,Binned,bins_8,18,294.9848958333273
HeartFailure__01,Binned,bins_16,34,191.21269448373528
HeartFailure__01,Binned,bins_32,66,274.8420138888912
HeartFailure__01,Binned,bins_64,130,434.73177083333576
HeartFailure__01,Density,density_8,18,413.1309744677269
HeartFailure__01,Density,density_16,34,503.30801079707203
HeartFailure__01,Density,density_32,66,451.1107611866041
HeartFailure__01,Density,density_64,130,425.36398740401023
HeartFailure__01,Density,density_128,258,423.59421851791103
HeartFailure__01,Density,density_256,514,424.319047400091
HeartFailure__02,Means,means,2,6.797259852216747
HeartFailure__02,Five-number,five_number,10,9.400000000000006
HeartFailure__02,Observations,raw,299,0.0
HeartFailure__02,Binned,bins_4,10,7.5356140350877325
HeartFailure__02,Binned,bins_8,18,5.9633223684210535
HeartFailure__02,Binned,bins_16,34,5.536509758897822
HeartFailure__02,Binned,bins_32,66,4.084765624999974
HeartFailure__02,Binned,bins_64,130,4.485091145833309
HeartFailure__02,Density,density_8,18,9.906707679682981
HeartFailure__02,Density,density_16,34,5.703112255746603
HeartFailure__02,Density,density_32,66,5.277427988993928
HeartFailure__02,Density,density_64,130,5.1950264078559485
HeartFailure__02,Density,density_128,258,5.181043354195197
HeartFailure__02,Density,density_256,514,5.173801317603235
HeartFailure__03,Means,means,2,30855.392478232214
HeartFailure__03,Five-number,five_number,10,187250.00000000023
HeartFailure__03,Observations,raw,299,0.0
HeartFailure__03,Binned,bins_4,10,24365.538732394365
HeartFailure__03,Binned,bins_8,18,23788.016194331984
HeartFailure__03,Binned,bins_16,34,27334.5245215311
HeartFailure__03,Binned,bins_32,66,17289.982982673275
HeartFailure__03,Binned,bins_64,130,27110.400390625
HeartFailure__03,Density,density_8,18,34152.83373631671
HeartFailure__03,Density,density_16,34,18021.33849000209
HeartFailure__03,Density,density_32,66,18815.994711237552
HeartFailure__03,Density,density_64,130,18874.782649052446
HeartFailure__03,Density,density_128,258,18883.27638670703
HeartFailure__03,Density,density_256,514,18944.928593350574
