key,task,dataset,kind,observer,selected,runner_up,reference_score,runner_reference_score,reference_margin,selected_test_score,runner_test_score,default,default_test_score,default_test_loss,selected_test_loss,transfer_gain,reference_ties,selected_still_best
profile_bidmc_07,profile,BIDMC,empirical,soft,Dot plot,Line chart,60.20060763541135,57.63802856121617,2.5625790741951846,68.94586040642704,64.22243152378321,Line chart,64.22243152378321,0.5570883510221415,0.45041340278463093,0.10667494823751056,1,True
profile_bidmc_08,profile,BIDMC,empirical,hard,Dot plot,Line chart,79.76648648205565,75.3284561142747,4.438030367780954,85.19075601128468,83.89673368752192,Line chart,83.89673368752192,0.19194151672764279,0.17383627851305405,0.01810523821458873,1,True
profile_bidmc_08,profile,BIDMC,empirical,soft,Dot plot,Line chart,80.7157209800846,79.6050258672129,1.1106951128716958,85.69786842463141,83.38734116573761,Line chart,83.38734116573761,0.19922279091791253,0.16689016702844683,0.0323326238894657,1,True
profile_bidmc_09,profile,BIDMC,empirical,hard,Line chart,Dot plot,85.20569685128507,84.9748719912598,0.23082486002526537,86.6856148070021,89.44952049028919,Line chart,86.6856148070021,0.15359394084752373,0.15359394084752373,0.0,1,False
profile_bidmc_09,profile,BIDMC,empirical,soft,Dot plot,Line chart,85.39154771927737,83.56454710328336,1.8270006159940095,89.4380146514976,86.98618472470916,Line chart,86.98618472470916,0.1496078407907705,0.11809279744925061,0.03151504334151989,1,True
profile_bidmc_10,profile,BIDMC,empirical,hard,Dot plot,Line chart,92.61816260553483,90.79580307490662,1.8223595306282192,94.87606071102384,92.46848148281443,Line chart,92.46848148281443,0.08144957499475453,0.0540066614336234,0.027442913561131127,1,True
profile_bidmc_10,profile,BIDMC,empirical,soft,Dot plot,Line chart,92.74680268571208,91.7364951914357,1.0103074942763897,94.92088858458719,93.58971670415103,Line chart,93.58971670415103,0.06849345763181108,0.05350889031013058,0.014984567321680506,1,True
profile_bidmc_11,profile,BIDMC,empirical,hard,Dot plot,Line chart,93.2730551494848,92.45570608603846,0.8173490634463434,95.61035268544413,94.57662253414341,Line chart,94.57662253414341,0.057343742254051075,0.04591184104296433,0.011431901211086747,1,True
profile_bidmc_11,profile,BIDMC,empirical,soft,Dot plot,Line chart,93.66702430950257,92.25372151784178,1.413302791660783,95.61456710431408,94.56471408898894,Line chart,94.56471408898894,0.0574768925531383,0.045865740216148025,0.011611152336990276,1,True
profile_bidmc_12,profile,BIDMC,empirical,hard,Dot plot,Line chart,95.80548813884336,94.88084488150176,0.9246432573416001,96.94592590460563,96.19936130005804,Line chart,96.19936130005804,0.03950794109835383,0.03150286169219287,0.008005079406160957,1,True
profile_bidmc_12,profile,BIDMC,empirical,soft,Dot plot,Line chart,95.6324015833054,95.18749380296292,0.4449077803424757,96.9391348985157,96.23993404751164,Line chart,96.23993404751164,0.03906970624722277,0.031575122933464275,0.0074945833137584975,1,True
profile_bidmc_13,profile,BIDMC,empirical,hard,Dot plot,Line chart,76.58002921054127,76.02763594254318,0.5523932679980845,84.03167613330221,79.67692684773353,Line chart,79.67692684773353,0.25506848665366894,0.190027434908792,0.06504105174487693,1,True
profile_bidmc_13,profile,BIDMC,empirical,soft,Dot plot,Line chart,77.28610056347993,74.98395740541864,2.3021431580612983,83.47884485698353,80.74753519742943,Line chart,80.74753519742943,0.2384278944923569,0.19790828648049236,0.04051960801186455,1,True
profile_bidmc_14,profile,BIDMC,empirical,hard,Dot plot,Line chart,82.21375300177279,80.70017410870933,1.5135788930634533,87.34423095437123,84.02732519119328,Line chart,84.02732519119328,0.19008905463148984,0.1448953057041646,0.04519374892732525,1,True
profile_bidmc_14,profile,BIDMC,empirical,soft,Dot plot,Line chart,83.13628543525697,80.91875253000217,2.2175329052547994,88.11620261104304,85.87728440064953,Line chart,85.87728440064953,0.16445228441857487,0.13486506495761813,0.029587219460956743,1,True
profile_bidmc_15,profile,BIDMC,empirical,hard,Line chart,Dot plot,89.58269084098615,88.17701213893784,1.4056787020483057,89.57829518314894,91.4788992223903,Line chart,89.57829518314894,0.11634185262784,0.11634185262784,0.0,1,False
profile_bidmc_15,profile,BIDMC,empirical,soft,Dot plot,Line chart,88.41808999862893,87.38847712993795,1.0296128686909753,92.04485744583339,91.26175914205285,Line chart,91.26175914205285,0.0957492047062747,0.0864268007460173,0.009322403960257394,1,True
profile_bidmc_16,profile,BIDMC,empirical,hard,Dot plot,Line chart,88.49148675024266,87.75340056743765,0.7380861828050058,91.5260068684719,88.63883304389596,Line chart,88.63883304389596,0.12817369730575925,0.09258563135727879,0.03558806594848046,1,True
profile_bidmc_16,profile,BIDMC,empirical,soft,Dot plot,Line chart,88.1212067442975,87.74458184955176,0.37662489474573135,91.482176208215,90.41199906820422,Line chart,90.41199906820422,0.1060478811508509,0.09310910764079655,0.012938773510054347,1,True
profile_bidmc_17,profile,BIDMC,empirical,hard,Dot plot,Line chart,95.57631196403145,94.61251822033037,0.9637937437010748,97.05126056087033,95.81076225632853,Line chart,95.81076225632853,0.0437240832346553,0.030383319310728726,0.013340763923926573,1,True
profile_bidmc_17,profile,BIDMC,empirical,soft,Dot plot,Line chart,95.67473350074347,94.7100349360886,0.9646985646548671,97.05746641628483,96.04530055707583,Line chart,96.04530055707583,0.0411753560037438,0.030317436590550348,0.010857919413193452,1,True
profile_bidmc_18,profile,BIDMC,empirical,hard,Dot plot,Line chart,64.74689282734332,63.13093169402934,1.6159611333139736,73.87315979629908,67.71513022347601,Line chart,67.71513022347601,0.4767748311193708,0.35367162140815633,0.12310320971121447,1,True
profile_bidmc_18,profile,BIDMC,empirical,soft,Dot plot,Line chart,65.83844253904398,63.672002054628265,2.166440484415716,74.20485858667098,70.7257231078436,Line chart,70.7257231078436,0.4139127265976278,0.34762065321100777,0.06629207338662002,1,True
profile_bidmc_19,profile,BIDMC,empirical,hard,Dot plot,Line chart,84.6689318175457,82.89677465646083,1.7721571610848628,88.56200564725762,84.98192139843907,Line chart,84.98192139843907,0.1767208643253479,0.12915238616320288,0.04756847816214502,1,True
profile_bidmc_19,profile,BIDMC,empirical,soft,Dot plot,Line chart,84.97102399206729,82.42854324174415,2.5424807503231364,89.26448368551883,86.31936293486007,Line chart,86.31936293486007,0.15848862410469683,0.12026637998941088,0.03822224411528595,1,True
