key,dataset,candidate,family,setting,H,observer,task,loss,successful,winner,score
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,384,threshold,spread,0.0580551031545418,4,False,94.51303594855757
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,384,threshold,five,0.0512317545236778,4,False,95.12650238130493
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,384,alpha,median,0.0586246530786483,4,False,94.46218705485853
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,384,alpha,spread,0.0580551031545418,4,False,94.51303594855757
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,384,alpha,five,0.0512317545236778,4,False,95.12650238130493
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,384,threshold,median,0.0301472981944467,4,False,97.0734963585027
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,384,threshold,spread,0.0029365688990035,4,True,99.70720292887245
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,384,threshold,five,0.0569620211120736,4,False,94.6107788194564
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,384,alpha,median,0.031252082421685,4,False,96.96950115743806
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,384,alpha,spread,0.0048676689979617,4,True,99.51559104266778
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,384,alpha,five,0.0603825660331665,4,False,94.30558668471376
WDBC__02,WDBC,Bar chart / means,Bar chart,means,256,threshold,median,0.0892706668746736,4,False,91.80454687806765
WDBC__02,WDBC,Bar chart / means,Bar chart,means,256,threshold,spread,0.9792924560474806,4,False,50.523104705655044
WDBC__02,WDBC,Bar chart / means,Bar chart,means,256,threshold,five,0.4569209805026301,4,False,68.6379023558989
WDBC__02,WDBC,Bar chart / means,Bar chart,means,256,alpha,median,0.0752413139411616,4,False,93.00237881807442
WDBC__02,WDBC,Bar chart / means,Bar chart,means,256,alpha,spread,0.9792924560474806,4,False,50.523104705655044
WDBC__02,WDBC,Bar chart / means,Bar chart,means,256,alpha,five,0.4541151099159277,4,False,68.77034652764297
